Molecule Name,SMILES,% inhibition of HepG2 cell line: PCT_INHIB_HEPG2 (%)
TCMDC-139695,CC(Cc1ccc(NC(=O)CCNCc2ccccc2)cc1)NCCc1cccc(Cl)c1,101
TCMDC-123729,CN(C)CCCn1c(N)c(-c2nc3ccccc3[nH]2)c2nc(C#N)c(C#N)nc12,100
TCMDC-124034,Cl.COc1ccc(-c2csc(N(CCCN(C)C)C(=O)c3cc4c(C)nn(-c5ccccc5)c4s3)n2)cc1,100
TCMDC-124100,CC(C)NCC(O)Cn1c2ccc(Br)cc2c2cc(Br)ccc12,100
TCMDC-124120,Cl.CCCCOc1ccc(C(=O)C(CCC(CNC(C)(C)C)C(=O)c2ccc(OCCCC)cc2)CNC(C)(C)C)cc1,100
TCMDC-124238,COc1ccc2nc(C)cc(Nc3ccc(Oc4ccc(Br)c5ccccc45)c(Cl)c3)c2c1,100
TCMDC-124517,Cc1ccn2cc(-c3ccc(NC(=O)c4ccc(Br)o4)cc3)nc2c1,100
TCMDC-124617,Cl.Clc1cc(Br)ccc1-c1ccc(CNCC2CCNCC2)o1,100
TCMDC-124807,Fc1ccc(-c2cccc(-c3cccc(NC(=O)c4ccc(N(=O)=O)o4)c3)n2)cc1,100
TCMDC-125230,Clc1ccccc1CN1CCN(c2ccc(NC(=O)c3ccc(N(=O)=O)o3)cc2)CC1,100
TCMDC-125835,Cl.COc1ccc2nc3cc(Cl)ccc3c(N)c2c1,100
TCMDC-131260,I.Cn1nc2ccc3ccccc3c2nc1=N,100
TCMDC-131267,Cl.COc1ccc(CCNCCCCCCNCCc2ccc(-c3ccccc3)cc2)cc1OC,100
TCMDC-131270,Cl.COc1ccc(CCNCCCCCCNCCc2ccc(Cl)c3ccccc23)cc1OC,100
TCMDC-131529,Cl.CC(Cc1ccc(OCCN2CCN(c3cccc(Cl)c3)CC2)cc1)NCC(O)c1cccc(C(F)(F)F)c1,100
TCMDC-131551,Cl.C[C@H](Cc1ccc(CCc2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1,100
TCMDC-131561,Cl.C[C@H](Cc1ccc(S(=O)(=O)c2ccc(C[C@@H](C)NC[C@H](O)c3cccc(Cl)c3)cc2)cc1)NC[C@H](O)c1cccc(Cl)c1,100
TCMDC-131964,COc1ccc(CN(C)CCCc2ccc(NC(=O)c3cccc4c3[nH]c3c(F)cccc3c4=O)cc2)cc1OC,100
TCMDC-132030,Nc1c2ccccc2nc2ccc(-c3ccccc3)cc12,100
TCMDC-132045,Cl.CCc1c(CCNCCCCCCNCCc2ccc(Br)cc2)ccc(OC)c1OC,100
TCMDC-132052,Cl.CCc1c2c(ccc1CC(C)NCCCCCCNCCc1ccc(OC)c(OC)c1CC)OCO2,100
TCMDC-132055,Cl.CCc1c2c(ccc1CC(C)(C)NCCCCCCNCCc1ccc(OC)c(OC)c1CC)OCO2,100
TCMDC-132056,Cl.CCc1c(CCNCCc2cccc(CCNCCc3ccc(OC)c(OC)c3CC)c2)ccc(OC)c1OC,100
TCMDC-132105,Cl.COc1cccc(CCc2c(CCNCCCCCCNCCc3ccccc3)ccc(OC)c2OC)c1,100
TCMDC-132301,Cl.N[C@@H](CCNC1CCN(c2cccc(C(F)(F)F)c2)CC1)Cc1ccc(F)c(F)c1,100
