mol,Cmpd Name,AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)sc2c1cccc2,JSF-3131,15052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c2c([nH]c(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)c2)cc(Cl)c1,JSF-3266,33043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)sc2c1ccc(OC)c2,JSF-3263,2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)sc2c1ccc(Cl)c2,JSF-3269,75175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1cc2c(Cl)c(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)[nH]c2cc1,JSF-3271,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2[nH]c3c(c2)cc(-c2ccccc2)cc3)cc1,JSF-3347,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(Oc2cc3c([nH]c(C(=O)NNC(=O)c4oc([N+](=O)[O-])cc4)c3)cc2)cc1,JSF-3346,12810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(/N=C\1/C=C2N(C)NC=C2C=C/1)CCCCF,JSF-3242,12713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(/N=C\1/C=C2N(C)NC=C2C=C/1)CCCC(F)(F)F,JSF-3243,4764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2n(-c3ccccc3)c3c(c2)cccc3)cc1,JSF-3247,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(NC3CCCC3)nc(N3CCOCC3)n2)cc1,JSF-3249,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2cc3c(cc2)cccc3)cc1,JSF-2717,6452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2oc3c(c2)cccc3)cc1,JSF-2826,2691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2cc3c(cc(OC)cc3)cc2)cc1,JSF-2904,3242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2ccc(COc3ccc(OCC)cc3)cc2)cc1,JSF-2718,2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)OCC)[nH]c2cc1)CCCC,JSF-2948,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)OCC)[nH]c2cc1)CCCCC,JSF-2959,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C(=O)N)[nH]c2cc1)CCCC,JSF-2985,7884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S(=O)(=O)(Nc1cc2c(C)c(C#N)[nH]c2cc1)CCCC,JSF-3005,21511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)c1cc2c([nH]c(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)c2)cc1,JSF-4035,4854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c2sc(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)cc2cc(Cl)c1,JSF-4061,43466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)[nH]c2c1cc(C(F)(F)F)cc2,JSF-4066,60456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1scc(-c2ncccc2)n1)Cc1c(C)cccc1,JSF-3204,1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1cc2c([nH]c(C(=O)N3CCN(Cc4oc([N+](=O)[O-])cc4)CC3)c2)cc1,JSF-3546,6144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(F)(F)Oc1cc2c([nH]c(C(=O)N3CCN(Cc4oc([N+](=O)[O-])cc4)CC3)c2)cc1,JSF-3638,26110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1c(C(=O)N2CCN(Cc3oc([N+](=O)[O-])cc3)CC2)[nH]c2c1cc(OC(F)(F)F)cc2,JSF-3639,13374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(C(NC(=O)c2oc([N+](=O)[O-])cc2)(C)C)cc1,JSF-3095,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(NCC(C)C)nc(N3CCOCC3)n2)cc1,JSF-2595,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N(C(C)C)C)nc(N3CCOCC3)n2)cc1,JSF-2683,6556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N(C)C3CC3)nc(N3CCOCC3)n2)cc1,JSF-2684,8747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])c1oc(/C=N/Nc2nc(N(C)C3CCC3)nc(N3CCOCC3)n2)cc1,JSF-2685,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
